symbol	MDA-MB-436	LU-01-1157	LU-01-0030	CO-04-0310	BR-05-0014E	BR-05-0022	BR-05-0028	BR-05-0020E	OV-10-0060	OV-10-0079	22RV1	CO-04-0003	HN-13-0032	LI-03-0014	LU-01-1388	LU-01-1116	ST-02-0360	ST-02-0393
CYBA	8.25885109580256	6.580184210646426	7.007198612820656	9.20394500869359	8.73791561309006	6.803967526130485	8.509710677584005	1.220026748056277	7.235865820083451	9.40948124742062	1.6309294715490215	7.826816790361144	1.989433704190149	1.0412844284656992	0.25897742604296536	5.934169825932088	9.026596592492012	8.981829326660012
LY6D	0.06581336785799821	0.0	10.805248005500978	0.6768233324784645	0.08920216413328266	0.44956221686052156	2.7782555399388595	5.726363718278548	2.6161511910096578	3.807497155359391	0.0	0.0	8.562947476807583	0.1311023304732808	6.887240562323887	0.0	2.4260833284525223	1.2361332588609069
S100A7	0.6890791634801333	0.0	9.177569693708513	0.0	0.12169298591974842	1.3866935259902287	0.49397474207407854	0.8549297116109315	0.0	0.0	0.0	0.0	11.024372189201358	0.0	9.162886709077771	0.0	0.0	0.0
EPHB2	3.2511492837550584	4.285091876652572	4.307967155871874	5.676302527282679	0.35955485241391677	5.436408905633333	0.5176834372549725	1.2578273913540945	4.828469168018562	4.741292660593779	0.45992085482681805	7.081517297627074	0.5803402121464563	0.518504048057119	4.170579270589852	2.7755823484218376	5.817655595125618	0.12472753696836729
SNCG	1.34256725631836	6.162167697289786	9.838185688438509	2.044228660718071	1.9052612974851282	3.0164899281648534	4.462057268328198	6.73686211056229	1.1587371085914056	0.5362481280729063	3.348267395024286	1.3866935259902287	6.133395719658021	0.6558759364010108	8.823763343788382	0.0	0.6017900310172404	0.17921875261539022
MGP	0.18655095127364768	0.38427314846916577	7.687336236754444	0.276942155008257	11.422018017946638	11.190047515779291	12.893313109139807	12.624009137799435	0.4900566621251716	0.10733071352667395	0.3246389111187206	0.19571051138545587	0.8024847924636584	0.0	5.911019862471586	0.9239814602476708	0.0	0.08063951282393987
CTSS	4.6489590331253074	5.6713114853927085	1.6747309101267465	7.4665513781928405	0.9266623854024854	5.796861840032005	6.494556969474434	4.031294526063636	1.0890664100150373	6.859801202835457	0.067681583512124	3.965100732828481	2.8348392121159973	4.845599886529546	0.8861217868812328	1.0412844284656992	5.551628351989855	8.586657316199016
SPRR3	0.0	0.0	10.656690915080112	0.07850523136997606	0.0	0.0	0.0	0.0	3.9269220985141158	0.18350110467020425	0.0	0.0	10.499465788252545	0.0	7.534800728707168	0.0	0.0	1.1381062377027282
DSG3	0.008667118879845642	0.0	6.366668781654242	2.8461490051009495	0.01336604294953983	0.8162474128486248	5.145867389325119	5.098166067781961	1.7721389993526655	0.03878155272577391	0.0015950325530077777	0.27236219681090046	8.300427246431841	0.0	4.94335883624061	0.0	2.90297785856567	3.2998770709083507
SPRR1B	0.0	0.0	9.608250308738276	0.9785334358595369	0.0	0.0	0.05076780505488972	0.0	4.066077625425928	0.8799696442643888	0.0	0.0	12.284426480026418	0.0	7.715368235621002	0.0	0.0	0.9821823735399692
MAPK8IP2	1.270672450209846	0.16762776749874395	4.357603977993405	1.53307866368088	2.7414368252567183	0.5108768253095327	4.744453060910239	1.9540346287988635	1.031172122235936	1.587613755783314	4.826530777632457	1.6993474359659884	1.0501218785755304	3.900870164379636	2.557422346070518	5.138665209963376	1.533944752396622	0.414831405511705
LIF	5.827245011944174	6.508546893064385	5.172871537400201	4.5313122873843135	0.12169298591974842	4.150465900014642	2.724939794023145	0.40015126157096875	1.853891521204294	7.149543109183938	0.7758697933426035	3.6510220092427343	1.4432942493933036	0.8342185145049308	5.9347206155724574	0.6947784596741838	3.433961555056866	5.287783388827123
AKR1C2	3.808194280230976	0.38427314846916577	4.653348027426672	1.5662496056111346	1.54656292504492	0.5818218565974587	2.267286208245679	3.039845011601168	0.0	1.4499159355147946	5.039752507294086	1.4055445333705874	7.7051082682022605	7.642660603455353	1.5739630108156506	3.3555327482216453	0.8751105121644284	3.6695641790425504
MMP7	3.8460795772848066	0.07761469266882154	2.5759448786345143	7.003131928054653	0.6768233324784645	7.877310314999589	8.778210449467833	7.651453238406884	0.43523003387076226	9.931459012304396	0.0	0.5835863597984067	0.0	0.8952346868441357	0.9530503611963547	0.0	0.0	8.93613580181772
TESC	2.8840422468123097	7.039690332177626	0.0	5.029474126454256	2.542652867157721	0.0	0.09730165635055099	0.0	2.05293470848074	4.644591427845008	2.071032598068809	5.364351395203611	0.4074544371903349	0.09518785334434669	0.0963137000480913	0.29416095469941267	4.258655828083353	8.752130417424109
ADIRF	1.0459475316700408	5.979918268514387	9.625221225092636	8.261579388278824	1.951171319658324	4.498179576886145	1.266325808275841	8.144156599382015	0.7622963655882647	0.0	8.038003152599888	9.518668556186263	9.838185688438509	0.0	7.85826622158582	7.422806889143437	7.33461788392006	3.0307403571827334
MSX1	4.233644691542672	2.6445018031218845	0.08799714269569052	2.532552945787677	0.16058762335553736	0.0	0.015530815083515096	0.6073151405784989	7.262287047786673	7.357780189185338	0.08216595060701204	2.712860021759219	0.7130236509486336	2.713762685107424	0.6025347757460611	1.362824880268546	3.333745174545892	0.2706142771695946
RENBP	6.932524878104598	4.460488782354946	2.246737366515382	2.880309571261785	0.0	4.454527706888172	0.3859401986233225	0.09503036605435376	1.5140646118797096	0.6915396459091089	2.9051785631874685	0.7425411574746685	0.28518040849035403	0.0	0.058246313597303735	0.994161107654823	0.2305618948529901	0.6096106105535728
